,index,Unnamed: 0,ext_temp,temp_top,temp_bottom,int_temp,sample_time,identifier,r_x,r_y,r_z,metal_fraction,job_no,id,orientation,which_iter,boundary_cond,Nx,Ny,Nz,Lx,Ly,Lz,x_mid,y_mid,z_mid,T_L,T_S,cond_metal_s,cond_metal_l,cond_olivine,dens_liq_metal,dens_solid_metal,dens_olivine,heat_cap_liq_metal,heat_cap_solid_metal,heat_cap_ol,latent_heat,dt,iterations,save_iter,iteration_list,model_id,percent_rounded,percent_geochem_preserved,expected_vol,actual_volume,mean_it0,mean_it1,mean_it2,mean_it3
0,1,1,901.0287881920814,896.258333807743,901.0287881920814,1830.0,100.00950660709192,Run250-8,90.0,74.0,90.0,0.5400000000000001,1,model_id_1,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_1,86.23853503286172,25.571615624532082,2509488.0,2511128.0,1759.6732353601537,1569.798899164444,1470.99006584415,1433.0769113284289
1,2,2,901.0287881920814,896.258333807743,901.0287881920814,1830.0,100.00950660709192,Run250-8,132.0,14.0,132.0,0.5300000000000001,2,model_id_2,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_2,52.44977393355612,100.0,1021278.72,1017400.0,1616.8831332501832,1250.7503288489847,1154.9486387385641,1127.4661220349165
2,3,3,901.0287881920814,896.258333807743,901.0287881920814,1840.0,100.00950660709192,Run250-8,128.0,66.0,128.0,0.24,3,model_id_3,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_3,89.22808748212225,15.78033649961902,4527226.88,4525176.0,1783.795226347201,1623.879575758228,1539.2434087006588,1506.3677145730694
3,4,4,1037.2046810925794,1027.5720260397584,1037.2046810925794,1780.0,35.00332731248217,Run300-8,30.0,114.0,30.0,0.32,4,model_id_4,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_4,67.44585191127362,100.0,429552.0,428824.0,1664.1886975450786,1377.6649112226055,1268.8566168848197,1236.2749376773677
4,5,5,1515.482038558975,1513.0664171407466,1515.482038558975,1680.0,30.002851982127577,Run250-8,20.0,124.0,20.0,0.25,5,model_id_5,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_5,71.98140615920977,0.0,207658.6666666667,206520.0,1641.695579230092,1564.62380560514,1546.0993509789603,1541.1066219620443
5,6,6,1037.2046810925794,1027.5720260397584,1037.2046810925794,1600.0,35.00332731248217,Run300-8,44.0,136.0,44.0,0.23,6,model_id_6,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_6,0.0,85.95860827398971,1102332.5866666667,1102056.0,1541.7417529049442,1379.8760123557684,1302.3977338362583,1275.1078791366185
6,7,7,823.3731432668196,813.7842827358581,823.3731432668196,1880.0,60.005703964255154,Run300-8,86.0,20.0,86.0,0.6800000000000002,7,model_id_7,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_7,67.67287130763455,100.0,619291.7333333333,618032.0,1683.4636518849334,1284.5547243517872,1153.0047240131178,1113.841139909145
7,8,8,1321.0393048253818,1313.4567936619046,1321.0393048253818,1660.0,20.001901321418384,Run300-8,128.0,30.0,128.0,0.1,8,model_id_8,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_8,69.0012798618216,0.0,2057830.4,2056472.0,1626.6309453233146,1535.1806093217324,1494.1403090711244,1479.90764344048
8,9,9,808.347503888043,804.0394452375098,808.347503888043,1740.0,120.01140792851032,Run250-8,144.0,10.0,144.0,0.13,9,model_id_9,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_9,17.102679360824933,100.0,868147.2000000001,859608.0,1495.4650704705539,1092.0186202998627,1010.0995601212705,987.4645942094587
9,10,10,1202.3949221859843,1197.180837174651,1202.3949221859843,1790.0,60.005703964255154,Run250-8,86.0,66.0,86.0,0.14,10,model_id_10,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_10,90.04453287481836,0.0,2043662.72,2042536.0,1748.7522837447214,1631.275660969613,1570.9683354996819,1547.894323740987
